Transaction_ID,Customer_ID,Product_ID,Date,Date 2,Quantity,Unit_Price,Total_Amount,Payment_Method,Channel,Month,Year,Number_of_Scoops
T00001,CUST011708,P027,2023-01-01,2023-01-01,2, $5.00 , $10.00 ,Tap to Pay,Social,1,2023,2
T00001,CUST023014,P042,2023-01-01,2023-01-01,3, $6.00 , $18.00 ,Tap to Pay,None,1,2023,3
T00001,CUST019741,P001,2023-01-01,2023-01-01,2, $4.50 , $9.00 ,Cash,Mobile App,1,2023,1
T00001,CUST035347,P062,2023-01-01,2023-01-01,3, $7.00 , $21.00 ,Cash,Email,1,2023,4
T00001,CUST031472,P064,2023-01-01,2023-01-01,2, $7.00 , $14.00 ,Tap to Pay,Email,1,2023,4
T00002,CUST028625,P031,2023-01-01,2023-01-01,3, $5.00 , $15.00 ,Credit Card,None,1,2023,2
T00002,CUST012682,P018,2023-01-01,2023-01-01,3, $5.50 , $16.50 ,Cash,None,1,2023,2
T00003,CUST026712,P035,2023-01-01,2023-01-01,2, $6.50 , $13.00 ,Cash,Social,1,2023,3
T00003,CUST012022,P030,2023-01-01,2023-01-01,2, $5.00 , $10.00 ,Cash,Email,1,2023,2
T00003,CUST028390,P002,2023-01-01,2023-01-01,2, $4.50 , $9.00 ,Cash,Post Mail,1,2023,1
T00004,CUST012677,P034,2023-01-01,2023-01-01,3, $6.50 , $19.50 ,Tap to Pay,Mobile App,1,2023,3
T00004,CUST020845,P009,2023-01-01,2023-01-01,1, $4.00 , $4.00 ,Cash,None,1,2023,1
T00004,CUST021894,P040,2023-01-01,2023-01-01,1, $6.50 , $6.50 ,Cash,Mobile App,1,2023,3
T00004,CUST030665,P043,2023-01-01,2023-01-01,3, $6.00 , $18.00 ,Tap to Pay,None,1,2023,3
T00005,CUST013587,P050,2023-01-01,2023-01-01,3, $7.50 , $22.50 ,Cash,Email,1,2023,4
T00005,CUST022945,P024,2023-01-01,2023-01-01,2, $5.50 , $11.00 ,Credit Card,Email,1,2023,2
T00005,CUST029412,P004,2023-01-01,2023-01-01,2, $4.50 , $9.00 ,Credit Card,None,1,2023,1
T00006,CUST034432,P009,2023-01-01,2023-01-01,2, $4.00 , $8.00 ,Cash,None,1,2023,1
T00006,CUST038273,P032,2023-01-01,2023-01-01,2, $5.00 , $10.00 ,Cash,None,1,2023,2
T00006,CUST026625,P009,2023-01-01,2023-01-01,1, $4.00 , $4.00 ,Tap to Pay,Post Mail,1,2023,1
T00007,CUST027062,P003,2023-01-01,2023-01-01,2, $4.50 , $9.00 ,Credit Card,None,1,2023,1
T00008,CUST016920,P044,2023-01-01,2023-01-01,1, $6.00 , $6.00 ,Credit Card,Post Mail,1,2023,3
T00009,CUST025841,P014,2023-01-01,2023-01-01,1, $4.00 , $4.00 ,Tap to Pay,Mobile App,1,2023,1
T00009,CUST022474,P042,2023-01-01,2023-01-01,3, $6.00 , $18.00 ,Credit Card,Post Mail,1,2023,3
T00009,CUST022448,P048,2023-01-01,2023-01-01,1, $6.00 , $6.00 ,Credit Card,None,1,2023,3
T00010,CUST030228,P042,2023-01-01,2023-01-01,3, $6.00 , $18.00 ,Cash,Email,1,2023,3
T00010,CUST020402,P051,2023-01-01,2023-01-01,3, $7.50 , $22.50 ,Tap to Pay,None,1,2023,4
T00010,CUST029533,P062,2023-01-01,2023-01-01,3, $7.00 , $21.00 ,Tap to Pay,Email,1,2023,4
T00011,CUST030875,P010,2023-01-01,2023-01-01,2, $4.00 , $8.00 ,Tap to Pay,None,1,2023,1
T00011,CUST018470,P062,2023-01-01,2023-01-01,2, $7.00 , $14.00 ,Tap to Pay,Social,1,2023,4
T00011,CUST039355,P030,2023-01-01,2023-01-01,3, $5.00 , $15.00 ,Cash,Email,1,2023,2
T00012,CUST028310,P043,2023-01-01,2023-01-01,3, $6.00 , $18.00 ,Tap to Pay,Email,1,2023,3
T00012,CUST010390,P001,2023-01-01,2023-01-01,2, $4.50 , $9.00 ,Credit Card,Post Mail,1,2023,1
T00012,CUST027232,P056,2023-01-01,2023-01-01,2, $7.50 , $15.00 ,Tap to Pay,Post Mail,1,2023,4
T00012,CUST013880,P037,2023-01-01,2023-01-01,2, $6.50 , $13.00 ,Cash,Mobile App,1,2023,3
T00013,CUST027315,P038,2023-01-01,2023-01-01,1, $6.50 , $6.50 ,Credit Card,Social,1,2023,3
T00013,CUST016898,P018,2023-01-01,2023-01-01,2, $5.50 , $11.00 ,Cash,None,1,2023,2
T00013,CUST023608,P046,2023-01-01,2023-01-01,2, $6.00 , $12.00 ,Cash,Post Mail,1,2023,3
T00013,CUST010246,P050,2023-01-01,2023-01-01,1, $7.50 , $7.50 ,Cash,Email,1,2023,4
T00013,CUST032793,P055,2023-01-01,2023-01-01,3, $7.50 , $22.50 ,Credit Card,Email,1,2023,4
T00014,CUST038054,P031,2023-01-01,2023-01-01,2, $5.00 , $10.00 ,Tap to Pay,None,1,2023,2
T00014,CUST025523,P008,2023-01-01,2023-01-01,3, $4.50 , $13.50 ,Credit Card,Post Mail,1,2023,1
T00015,CUST022049,P061,2023-01-01,2023-01-01,2, $7.00 , $14.00 ,Tap to Pay,Email,1,2023,4
T00016,CUST022406,P019,2023-01-01,2023-01-01,1, $5.50 , $5.50 ,Tap to Pay,Mobile App,1,2023,2
T00016,CUST038267,P035,2023-01-01,2023-01-01,1, $6.50 , $6.50 ,Tap to Pay,None,1,2023,3
T00016,CUST021185,P029,2023-01-01,2023-01-01,2, $5.00 , $10.00 ,Tap to Pay,Mobile App,1,2023,2
T00016,CUST028445,P011,2023-01-01,2023-01-01,2, $4.00 , $8.00 ,Tap to Pay,Mobile App,1,2023,1
T00016,CUST032569,P036,2023-01-01,2023-01-01,3, $6.50 , $19.50 ,Cash,None,1,2023,3
T00017,CUST017027,P036,2023-01-01,2023-01-01,3, $6.50 , $19.50 ,Cash,None,1,2023,3
